Designator,Pin,PinName,Net,Category,Description
U23,2,,$1I7836\DOUT,IC/模块,
U23,3,,GND,IC/模块,
U23,4,,RGB_3,IC/模块,
U24,1,,COL0,IC/模块,
U24,2,,$1I7836\K0,IC/模块,
U25,1,,RGB_VCC_OUT,IC/模块,
U25,2,,$1I7837\DOUT,IC/模块,
U25,3,,GND,IC/模块,
U25,4,,$1I7836\DOUT,IC/模块,
U26,1,,COL1,IC/模块,
U26,2,,$1I7837\K0,IC/模块,
U27,1,,RGB_VCC_OUT,IC/模块,
U27,2,,RGB_4,IC/模块,
U27,3,,GND,IC/模块,
U27,4,,$1I7837\DOUT,IC/模块,
U28,1,,COL2,IC/模块,
U28,2,,$1I7838\K0,IC/模块,
U29,1,,RGB_VCC_OUT,IC/模块,
U29,2,,$1I7839\DOUT,IC/模块,
U29,3,,GND,IC/模块,
U29,4,,RGB_4,IC/模块,
U30,1,,COL0,IC/模块,
U30,2,,$1I7839\K0,IC/模块,
U31,1,,RGB_VCC_OUT,IC/模块,
U31,2,,$1I7840\DOUT,IC/模块,
U31,3,,GND,IC/模块,
U31,4,,$1I7839\DOUT,IC/模块,
U32,1,,COL1,IC/模块,
U32,2,,$1I7840\K0,IC/模块,
U33,1,,RGB_VCC_OUT,IC/模块,
U33,2,,$1I7841\DOUT,IC/模块,
U33,3,,GND,IC/模块,
U33,4,,$1I7840\DOUT,IC/模块,
U34,1,,COL3,IC/模块,
U34,2,,$1I7841\K0,IC/模块,
U3,1,,RGB_VCC_OUT,IC/模块,
U3,2,,$1I7827\DIN,IC/模块,
U3,3,,GND,IC/模块,
U3,4,,$1I7845\DIN,IC/模块,
U4,1,,COL1,IC/模块,
U4,2,,$1I7845\K0,IC/模块,
U35,1,,RGB_VCC_OUT,IC/模块,
U35,2,,$1I7845\DIN,IC/模块,
U35,3,,GND,IC/模块,
U35,4,,RGB_DATA,IC/模块,
U38,1,,COL0,IC/模块,
U38,2,,$1I8037\K0,IC/模块,
C4,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C4,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C5,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C5,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C6,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C6,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C7,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C7,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C14,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C14,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C15,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C15,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C16,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C16,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C18,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C18,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C19,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C19,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C20,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C20,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C21,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C21,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C26,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C26,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C27,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C27,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C28,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C28,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C35,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C35,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C36,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C36,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C37,1,,RGB_VCC_OUT,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C37,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
D20,1,,ROW0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D20,2,,$1N8271,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D1,1,,ROW1,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D1,2,,$1I8037\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D2,1,,ROW1,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D2,2,,$1I7845\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D3,1,,ROW1,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D3,2,,$1I7827\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D4,1,,ROW1,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D4,2,,$1I7828\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D5,1,,ROW2,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D5,2,,$1I7829\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D6,1,,ROW2,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D6,2,,$1I7830\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D7,1,,ROW2,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D7,2,,$1I7831\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D8,1,,ROW3,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D8,2,,$1I7832\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D9,1,,ROW3,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D9,2,,$1I7833\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D10,1,,ROW3,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D10,2,,$1I7834\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D11,1,,ROW3,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D11,2,,$1I7835\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D12,1,,ROW4,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D12,2,,$1I7836\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D13,1,,ROW4,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D13,2,,$1I7837\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D14,1,,ROW4,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D14,2,,$1I7838\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D17,1,,ROW5,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D17,2,,$1I7839\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D18,1,,ROW5,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D18,2,,$1I7840\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D19,1,,ROW5,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
D19,2,,$1I7841\K0,二极管,二极管配置:独立式;正向压降(Vf):-;直流反向耐压(Vr):100V;整流电流:300mA;反向恢复时间(Trr):8ns;
R11,1,,GND,电阻,电阻类型:厚膜电阻;阻值:5.1kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R11,2,,$1N7,电阻,电阻类型:厚膜电阻;阻值:5.1kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R12,1,,GND,电阻,电阻类型:厚膜电阻;阻值:5.1kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R12,2,,$1N6,电阻,电阻类型:厚膜电阻;阻值:5.1kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
SW3,6,,,其他,
SW3,7,,,其他,
SW3,A,,EC11A,其他,
SW3,B,,EC11B,其他,
SW3,C,,GND,其他,
SW3,D,,COL3,其他,
SW3,E,,$1N8271,其他,
USB1,1,,,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,2,,$1N8558,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,3,,,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,4,,,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A1B12,,GND,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A4B9,,VBUS,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A5,,$1N7,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A6,,$1N8,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A7,,$1N5,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,A8,,,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B5,,$1N6,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B6,,$1N8,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B7,,$1N5,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B8,,,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B4A9,,VBUS,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
USB1,B1A12,,GND,连接器,连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:卧贴;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-40℃~+85℃;
R6,1,,BAT_ADC,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R6,2,,VBAT,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R8,1,,$1N8138,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R8,2,,BAT_ADC,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R10,1,,$1N8137,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R10,2,,GND,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
C29,1,,BAT_ADC,电容,容值:100nF;精度:±10%;额定电压:16V;温度系数:X7R;
C29,2,,GND,电容,容值:100nF;精度:±10%;额定电压:16V;温度系数:X7R;
R9,1,,$1N8137,电阻,电阻类型:薄膜电阻;阻值:1kΩ;精度:±0.1%;功率:62.5mW;工作电压:50V;温度系数:±25ppm/℃;
R9,2,,BAT_ADC_EN,电阻,电阻类型:薄膜电阻;阻值:1kΩ;精度:±0.1%;功率:62.5mW;工作电压:50V;温度系数:±25ppm/℃;
R1,1,,$1N8557,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R1,2,,3V3,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
C11,1,,GND,电容,容值:100nF;精度:±10%;额定电压:16V;温度系数:X7R;
C11,2,,$1N8557,电容,容值:100nF;精度:±10%;额定电压:16V;温度系数:X7R;
R13,1,,$1N8566,电阻,电阻类型:厚膜电阻;阻值:4.7kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R13,2,,3V3,电阻,电阻类型:厚膜电阻;阻值:4.7kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
Q1,1,,$1N8137,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
Q1,2,,GND,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
Q1,3,,$1N8138,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
Q2,1,,$1N8211,三极管,数量:1个P沟道;漏源电压(Vdss):20V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):580mΩ@4.5V;耗散功率(Pd):180mW;阈值电压(Vgs(th)):620mV@250uA;
Q2,2,,SYS_POWER,三极管,数量:1个P沟道;漏源电压(Vdss):20V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):580mΩ@4.5V;耗散功率(Pd):180mW;阈值电压(Vgs(th)):620mV@250uA;
Q2,3,,RGB_VCC_OUT,三极管,数量:1个P沟道;漏源电压(Vdss):20V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):580mΩ@4.5V;耗散功率(Pd):180mW;阈值电压(Vgs(th)):620mV@250uA;
R14,1,,$1N8211,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R14,2,,SYS_POWER,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
Q4,1,,RGB_PWR_EN,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
Q4,2,,GND,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
Q4,3,,$1N8211,三极管,数量:1个N沟道;漏源电压(Vdss):60V;连续漏极电流(Id):500mA;导通电阻(RDS(on)):5Ω@10V,200mA;耗散功率(Pd):225mW;阈值电压(Vgs(th)):3V@1.0mA;
R15,1,,GND,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R15,2,,RGB_PWR_EN,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
U36,1,,SCREEN_BLK,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,2,,SCREEN_RES,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,3,,SCREEN_DC,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,4,,SCREEN_SDA,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,5,,GND,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,6,,SCREEN_SCL,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,7,,SCREEN_CS,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,8,,MODE,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,9,,BAT_ADC,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,10,,COL3,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,11,,$1N8329,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,12,,COL2,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,13,,$1N8328,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,14,,COL1,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,15,,COL0,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,16,,ROW5,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
U36,17,,ROW4,IC/模块,1、原装进口nRF52840射频芯片。2、支持蓝牙4.2和5.0协议。3、芯片自带高性能ARM CORTEX-M4F内核。4、芯片自带32.768K实时时钟。5、四层高性能PCB板，射频特性优异，可以通过各种认证。6、模块引出了大部分的IO口。7、模块出厂无程序，用户需要进行二次开发。
